"neighborhood","Overall_Average_Price","Average_Price_of_Private_Room","Average_Price_of_Entire_Home/Apt"
"Ballard",124.682608695652,66.4878048780488,156.925675675676
"Beacon Hill",94.6694915254237,66.3620689655172,126.175438596491
"Capitol Hill",130.592592592593,91.8321678321678,154.005208333333
"Cascade",140.101123595506,89.7083333333333,162.354838709677
"Central Area",128.338753387534,78.4928571428571,160.577777777778
"Delridge",83.2784810126582,69.7894736842105,95.780487804878
"Downtown",154.405660377358,100.142857142857,162.834394904459
"Interbay",109.727272727273,73,153.8
"Lake City",92.6716417910448,62.4166666666667,127.806451612903
"Magnolia",177.672131147541,67.3684210526316,232.390243902439
"Northgate",88.55,66.9714285714286,111.90243902439
"Other neighborhoods",119.968513853904,69.5109489051095,152.422764227642
"Queen Anne",157.223728813559,92.9193548387097,175.510822510823
"Rainier Valley",91.8993710691824,60.6075949367089,126.434210526316
"Seward Park",108.477272727273,56.8823529411765,140.962962962963
"University District",93.6393442622951,54.1052631578947,119.648648648649
"West Seattle",141.35960591133,84.955223880597,170.177777777778
